battery_kwh,reliability,ens_kwh,lolp
910,0.9995363449129534,224.54803118525655,0.001141552511415525
920,0.999552037674288,216.94803118525658,0.001141552511415525
930,0.9995677304356226,209.3480311852566,0.001141552511415525
940,0.9995834231969574,201.7480311852566,0.001141552511415525
950,0.999599115958292,194.14803118525657,0.001141552511415525
960,0.9996148087196266,186.54803118525658,0.0010273972602739725
970,0.9996305014809612,178.94803118525658,0.0010273972602739725
980,0.999646194242296,171.34803118525647,0.0009132420091324201
990,0.9996618870036306,163.74803118525648,0.0009132420091324201
1000,0.9996775797649652,156.14803118525649,0.0009132420091324201
