battery_kwh,reliability_mean,reliability_std,reliability_p05,reliability_p95
500,0.9726127637231161,0.001333595740014078,0.9706929723039721,0.9748167555127352
510,0.9750898141369845,0.001293349063972621,0.9731856926730987,0.9772644106061791
520,0.9774102152368424,0.0012533434132224698,0.9755638126726904,0.9795362117356886
530,0.9795759743797539,0.0012169566097480298,0.977787986672813,0.9816568117133375
540,0.981587400174634,0.0011880519263111108,0.9798449154877571,0.983640167659081
550,0.9834516970921614,0.001153049016524937,0.9816337564471652,0.9854318411129098
560,0.9851779281146605,0.0011105676896208708,0.9833501497584779,0.9870717695707584
570,0.9867655998262654,0.0010684455504741596,0.9849642970000295,0.9885588543940044
580,0.9882210427007955,0.0010272349639831573,0.9865701659509564,0.9898665796699225
590,0.9895509789206913,0.000980256343974027,0.9880255033311889,0.9910223531469325
600,0.9907525904312523,0.0009294054437925125,0.9891974742325285,0.9921340807910597
610,0.9918322698100234,0.0008843795746850021,0.9902854051470188,0.9931500245964431
620,0.9928004554507608,0.0008434289832819135,0.9913896642754731,0.9940928657917162
630,0.9936674832602074,0.0008063893526967662,0.992477075010526,0.994939273243149
640,0.9944343759098664,0.0007704953016808891,0.9932489381370676,0.9956475869108172
650,0.9951125318930417,0.0007345891424171083,0.9939737552874603,0.9962604724400076
660,0.9957055632019641,0.0007007405491796831,0.9945729812656083,0.9968388524704183
670,0.9962191125293569,0.0006685568401540889,0.9951851500978406,0.9973438078025274
680,0.9966647675778583,0.0006381296402493731,0.9956632145185684,0.9977383289236658
690,0.9970489715252111,0.0006067774457992346,0.996086470360637,0.9980720552321075
700,0.9973787997048207,0.0005767350537168372,0.9964528503177141,0.9983812670001424
710,0.9976614841279514,0.0005497824469350547,0.9968007481053254,0.9986251974485908
720,0.9979028856032137,0.0005261809114412273,0.9970143684775157,0.9988253310782712
730,0.9981067028694618,0.0005063277340948053,0.9971813727797568,0.9989915715918033
740,0.9982834493591998,0.0004897550463713519,0.997485181097695,0.9990983214705593
750,0.9984369279519634,0.0004756933000698841,0.9976339405441471,0.9992383133942944
760,0.9985728793557351,0.00046422476216441655,0.9977506585238695,0.9993306871692664
770,0.9986911850976764,0.00045494270374032606,0.9978753752096395,0.9994129482183371
780,0.9987944776691458,0.0004459667261135543,0.9979997621225172,0.9995436012936997
790,0.9988850391420692,0.0004383428738602141,0.9981215924925191,0.9996147506960559
800,0.9989636546808075,0.0004316333545305496,0.9982013419968813,0.9996662699654082
810,0.9990332889583029,0.0004266150576572579,0.9982636641353861,0.9996993187375994
820,0.9990954723357435,0.0004216074738206931,0.9983254628976755,0.9997177492230495
830,0.9991512618789464,0.0004161495113539818,0.9983736883129065,0.9997903342967103
840,0.9992021464895466,0.0004106384373230643,0.9984212088693987,0.9998373285305967
850,0.9992477798420174,0.0004040945114409572,0.9984728936048259,0.9998836362827888
860,0.9992893141171849,0.00039702100599279394,0.9985346300781794,0.9999131478782337
870,0.9993269428821275,0.00039023060461776523,0.9985949264558348,0.9999522403157414
880,0.99936105398857,0.00038337760583222625,0.9986402181086566,0.9999789273149939
890,0.9993918737041199,0.00037598808502282174,0.9986722546149166,0.9999938848707934
900,0.9994206105959859,0.00036838324278178986,0.9987042911211768,1.0
910,0.9994467563530318,0.00036079264363694276,0.9987487846397421,1.0
920,0.9994709177269158,0.0003536062506081247,0.9987955385771945,1.0
930,0.9994939639335938,0.0003461919208172195,0.9988414804776781,1.0
940,0.9995163685430276,0.00033873676331621635,0.998886946402468,1.0
950,0.9995377727764453,0.0003315714679499297,0.9989219423759501,1.0
960,0.9995585611204032,0.0003250218007540006,0.9989524722271274,1.0
970,0.9995783212280702,0.000319203790909878,0.9989836315460677,1.0
980,0.99959648025365,0.00031369546802478403,0.9990147908650083,1.0
990,0.9996138897480925,0.00030787930570870786,0.9990459501839488,1.0
1000,0.9996303911034699,0.0003020564388860038,0.9990771095028893,1.0
