datetime,load_kw
 01/16  03:00:00,12.877565474876649
 01/16  04:00:00,12.877565474876649
 01/16  05:00:00,12.877565474876649
 01/16  06:00:00,12.877565474876649
 01/16  07:00:00,18.308313007508215
 01/16  08:00:00,13.037106178625105
 01/16  09:00:00,12.86106251575328
 01/16  10:00:00,12.858003476659123
 01/16  11:00:00,13.47296485796288
 01/16  12:00:00,16.240267440289905
 01/16  13:00:00,18.18699901004051
 01/16  14:00:00,19.277108898460952
 01/16  15:00:00,18.45593547175846
 01/16  16:00:00,17.704216227825707
 01/16  17:00:00,15.825049443401932
 01/16  18:00:00,14.382833350296238
 01/16  19:00:00,15.916364687240193
 01/16  20:00:00,13.58461547487665
 01/16  21:00:00,13.58461547487665
 01/16  22:00:00,13.58461547487665
 01/16  23:00:00,13.58461547487665
 01/16  24:00:00,13.58461547487665
 01/17  01:00:00,16.002738920482273
 01/17  02:00:00,16.002738920482273
 01/17  03:00:00,16.002738920482273
 01/17  04:00:00,16.002738920482273
 01/17  05:00:00,16.002738920482273
 01/17  06:00:00,16.002738920482273
 01/17  07:00:00,26.99513872192081
 01/17  08:00:00,39.76459648839255
 01/17  09:00:00,87.37951318020822
 01/17  10:00:00,80.26409215843111
 01/17  11:00:00,79.77714345646606
 01/17  12:00:00,84.1866206595406
 01/17  13:00:00,85.5981107833715
 01/17  14:00:00,91.07914297966713
 01/17  15:00:00,88.50835479082485
 01/17  16:00:00,89.26290591989536
 01/17  17:00:00,91.43111241177878
 01/17  18:00:00,67.91401509365028
 01/17  19:00:00,42.78176745265206
 01/17  20:00:00,37.2697451433604
 01/17  21:00:00,34.28337258594477
 01/17  22:00:00,33.136003917238035
 01/17  23:00:00,21.603550764090535
 01/17  24:00:00,20.122908155790526
 01/18  01:00:00,16.163712511941814
 01/18  02:00:00,16.002738920482273
 01/18  03:00:00,16.002738920482273
 01/18  04:00:00,16.002738920482273
 01/18  05:00:00,16.002738920482273
 01/18  06:00:00,16.002738920482273
 01/18  07:00:00,30.973847003622325
 01/18  08:00:00,44.85984659395423
 01/18  09:00:00,93.01232797531667
 01/18  10:00:00,84.84668512400081
 01/18  11:00:00,84.67520226378197
 01/18  12:00:00,88.06763411328558
 01/18  13:00:00,88.67374031788168
 01/18  14:00:00,92.30000533522755
 01/18  15:00:00,89.66589598199566
 01/18  16:00:00,89.0269187187408
 01/18  17:00:00,92.04414770763385
 01/18  18:00:00,71.02740467922868
